epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.03,0,,,,,,,
0,,45,,,161.6461181640625,2.149277925491333,294.1147155761719,0.622222363948822,158.6229248046875
0,,45,20.733684539794922,,,,,,
,0.03,46,,,,,,,
1,,49,,10.617610931396484,,,,,
1,,91,,,164.24539184570312,2.1283364295959473,296.861328125,0.6769022345542908,149.71295166015625
1,,91,8.853804588317871,,,,,,
,0.03,92,,,,,,,
2,,99,,8.373525619506836,,,,,
2,,137,,,132.70196533203125,1.2147117853164673,251.8539581298828,0.6788365840911865,110.87483978271484
2,,137,8.759513854980469,,,,,,
,0.03,138,,,,,,,
3,,149,,6.984120845794678,,,,,
3,,183,,,150.1973876953125,1.320368766784668,277.0792541503906,0.7039735317230225,128.83184814453125
3,,183,9.343521118164062,,,,,,
,0.03,184,,,,,,,
4,,199,,7.079209804534912,,,,,
4,,229,,,137.55377197265625,1.3102117776870728,258.40765380859375,0.6547815203666687,123.12532806396484
4,,229,6.938915252685547,,,,,,
,0.03,230,,,,,,,
5,,249,,5.327406406402588,,,,,
5,,275,,,132.83456420898438,1.3098419904708862,253.57398986816406,0.7043383717536926,113.22537231445312
5,,275,6.502807140350342,,,,,,
