city,scenario,ate_marginal,pm25_reduction_ugm3,est_lives_saved_annual,econ_benefit_m_usd
Delhi,Baseline vehicular reduction,1.2610944304568574,10.351195263004607,4658,2329.018934176037
Delhi,Aggressive vehicular ban,1.2504834941050484,25.66024896318905,11547,5773.556016717536
Delhi,Industrial throttling,0.081467301663906,0.6031343140951876,271,135.7052206714172
Delhi,Deep industrial shutdown,0.10279659216724443,1.5220867965873186,684,342.4695292321467
Delhi,Ammonia/Agricultural control,1.139479021473928,8.70585174885793,3917,1958.8166434930342
Mumbai,Baseline vehicular reduction,-10.31775986280136,-43.88088106441622,13822,6911.238767645555
Mumbai,Aggressive vehicular ban,-10.904622786215228,-115.94194425366172,36521,18260.85621995172
Mumbai,Industrial throttling,-8.699435207336297,-29.224987768549717,9205,4602.935573546581
Mumbai,Deep industrial shutdown,-8.149090084014778,-54.75230342064094,17246,8623.48778875095
Mumbai,Ammonia/Agricultural control,1.3711636292146332,6.748707222029428,2125,1062.921387469635
Bengaluru,Baseline vehicular reduction,-0.09524493026235964,-0.47971058342071343,93,46.77178188351956
Bengaluru,Aggressive vehicular ban,-0.09707694786879195,-1.2223443066881052,238,119.17856990209026
Bengaluru,Industrial throttling,0.6871194469191754,2.8592501857917663,557,278.77689311469726
Bengaluru,Deep industrial shutdown,0.6771923829613901,5.635883121866823,1098,549.4986043820153
Bengaluru,Ammonia/Agricultural control,0.529031059841113,1.1891869347843107,231,115.94572614147029
